project,repo,company_name,activity_months,commit_weight,months_pct,engagement_score,company_type,repo_short,sponsor,commit_access,activity_scope
apple,apple/swift-corelibs-foundation,GitHub,1,3,0.2,26,github,swift-corelibs-foundation,Apple,closed,unknown
apple,apple/swift-corelibs-foundation,Google Email,1,1,0.2,22,personal,swift-corelibs-foundation,Apple,closed,unknown
apple,apple/swift-corelibs-foundation,IBM,1,0,0.2,20,public,swift-corelibs-foundation,Apple,closed,external
apple,apple/swift-corelibs-libdispatch,Apple,1,1,0.2,22,public,swift-corelibs-libdispatch,Apple,closed,internal
apple,apple/swift-corelibs-libdispatch,Facebook,1,1,0.2,22,public,swift-corelibs-libdispatch,Apple,closed,external
apple,apple/swift-corelibs-libdispatch,GitHub,4,1,0.7,72,github,swift-corelibs-libdispatch,Apple,closed,unknown
apple,apple/swift-corelibs-libdispatch,Google Email,1,0,0.2,20,personal,swift-corelibs-libdispatch,Apple,closed,unknown
apple,apple/swift-corelibs-libdispatch,Yahoo Email,1,0,0.2,20,personal,swift-corelibs-libdispatch,Apple,closed,unknown
apple,apple/swift-corelibs-xctest,Apple,1,0,0.2,20,public,swift-corelibs-xctest,Apple,closed,internal
apple,apple/swift-corelibs-xctest,GitHub,2,1,0.3,32,github,swift-corelibs-xctest,Apple,closed,unknown
apple,apple/swift-corelibs-xctest,Yahoo Email,1,0,0.2,20,personal,swift-corelibs-xctest,Apple,closed,unknown
apple,apple/swift-evolution,Apple,2,1,0.3,32,public,swift-evolution,Apple,closed,internal
apple,apple/swift-evolution,GitHub,2,2,0.3,34,github,swift-evolution,Apple,closed,unknown
apple,apple/swift-evolution,Google,1,1,0.2,22,public,swift-evolution,Apple,closed,external
apple,apple/swift-integration-tests,Apple,2,1,0.3,32,public,swift-integration-tests,Apple,closed,internal
apple,apple/swift-integration-tests,GitHub,2,1,0.3,32,github,swift-integration-tests,Apple,closed,unknown
apple,apple/swift-llbuild,Apple,2,2,0.3,34,public,swift-llbuild,Apple,closed,internal
apple,apple/swift-llbuild,GitHub,2,0,0.3,30,github,swift-llbuild,Apple,closed,unknown
apple,apple/swift-lldb,Apple,1,2,0.2,24.000000000000004,public,swift-lldb,Apple,closed,internal
apple,apple/swift-lldb,GitHub,1,3,0.2,26,github,swift-lldb,Apple,closed,unknown
apple,apple/swift-llvm,Apple,2,0,0.3,30,public,swift-llvm,Apple,closed,internal
apple,apple/swift-llvm,GitHub,2,1,0.3,32,github,swift-llvm,Apple,closed,unknown
apple,apple/swift-llvm,Google Email,1,0,0.2,20,personal,swift-llvm,Apple,closed,unknown
apple,apple/swift-llvm,Red Hat,2,2,0.3,34,public,swift-llvm,Apple,closed,external
apple,apple/swift-llvm,Yahoo Email,1,1,0.2,22,personal,swift-llvm,Apple,closed,unknown
apple,apple/swift-package-manager,Apple,2,2,0.3,34,public,swift-package-manager,Apple,closed,internal
apple,apple/swift-package-manager,GitHub,2,1,0.3,32,github,swift-package-manager,Apple,closed,unknown
apple,apple/swift-xcode-playground-support,Apple,1,1,0.2,22,public,swift-xcode-playground-support,Apple,closed,internal
apple,apple/swift-xcode-playground-support,Apple Email,1,3,0.2,26,personal,swift-xcode-playground-support,Apple,closed,unknown
apple,apple/swift-xcode-playground-support,GitHub,2,0,0.3,30,github,swift-xcode-playground-support,Apple,closed,unknown
apple,apple/swift-xcode-playground-support,Google Email,1,0,0.2,20,personal,swift-xcode-playground-support,Apple,closed,unknown
aspnet,aspnet/Configuration,GitHub,3,2,0.5,54,github,Configuration,Microsoft,closed,unknown
aspnet,aspnet/Configuration,Microsoft,4,1,0.7,72,public,Configuration,Microsoft,closed,internal
aspnet,aspnet/DataProtection,GitHub,3,1,0.5,52,github,DataProtection,Microsoft,closed,unknown
aspnet,aspnet/DataProtection,Microsoft,4,1,0.7,72,public,DataProtection,Microsoft,closed,internal
aspnet,aspnet/DependencyInjection,GitHub,4,1,0.7,72,github,DependencyInjection,Microsoft,closed,unknown
aspnet,aspnet/DependencyInjection,Microsoft,4,1,0.7,72,public,DependencyInjection,Microsoft,closed,internal
aspnet,aspnet/Diagnostics,GitHub,4,1,0.7,72,github,Diagnostics,Microsoft,closed,unknown
aspnet,aspnet/Diagnostics,Microsoft,4,2,0.7,74,public,Diagnostics,Microsoft,closed,internal
aspnet,aspnet/EntityFrameworkCore,GitHub,2,1,0.3,32,github,EntityFrameworkCore,Microsoft,closed,unknown
aspnet,aspnet/EntityFrameworkCore,Microsoft,1,3,0.2,26,public,EntityFrameworkCore,Microsoft,closed,internal
aspnet,aspnet/EntityFrameworkCore,Outlook.com Email,1,1,0.2,22,personal,EntityFrameworkCore,Microsoft,closed,unknown
aspnet,aspnet/Entropy,Microsoft,1,0,0.2,20,public,Entropy,Microsoft,closed,internal
aspnet,aspnet/Entropy,Outlook.com Email,2,0,0.3,30,personal,Entropy,Microsoft,closed,unknown
aspnet,aspnet/FileSystem,GitHub,4,1,0.7,72,github,FileSystem,Microsoft,closed,unknown
aspnet,aspnet/FileSystem,Microsoft,4,1,0.7,72,public,FileSystem,Microsoft,closed,internal
aspnet,aspnet/Home,GitHub,3,1,0.5,52,github,Home,Microsoft,closed,unknown
aspnet,aspnet/Hosting,GitHub,2,2,0.3,34,github,Hosting,Microsoft,closed,unknown
aspnet,aspnet/Hosting,Google Email,1,1,0.2,22,personal,Hosting,Microsoft,closed,unknown
aspnet,aspnet/Hosting,Microsoft,2,2,0.3,34,public,Hosting,Microsoft,closed,internal
aspnet,aspnet/Hosting,Outlook.com Email,2,1,0.3,32,personal,Hosting,Microsoft,closed,unknown
aspnet,aspnet/HttpAbstractions,GitHub,4,1,0.7,72,github,HttpAbstractions,Microsoft,closed,unknown
aspnet,aspnet/HttpAbstractions,Microsoft,4,1,0.7,72,public,HttpAbstractions,Microsoft,closed,internal
aspnet,aspnet/HttpAbstractions,Outlook.com Email,2,0,0.3,30,personal,HttpAbstractions,Microsoft,closed,unknown
aspnet,aspnet/HttpSysServer,GitHub,3,1,0.5,52,github,HttpSysServer,Microsoft,closed,unknown
aspnet,aspnet/HttpSysServer,Microsoft,4,1,0.7,72,public,HttpSysServer,Microsoft,closed,internal
aspnet,aspnet/HttpSysServer,Outlook.com Email,1,1,0.2,22,personal,HttpSysServer,Microsoft,closed,unknown
aspnet,aspnet/Identity,GitHub,3,2,0.5,54,github,Identity,Microsoft,closed,unknown
aspnet,aspnet/Identity,Microsoft,3,1,0.5,52,public,Identity,Microsoft,closed,internal
aspnet,aspnet/Logging,GitHub,3,2,0.5,54,github,Logging,Microsoft,closed,unknown
aspnet,aspnet/Logging,Microsoft,3,1,0.5,52,public,Logging,Microsoft,closed,internal
aspnet,aspnet/Logging,Outlook.com Email,1,0,0.2,20,personal,Logging,Microsoft,closed,unknown
aspnet,aspnet/Microsoft.Data.Sqlite,GitHub,3,2,0.5,54,github,Microsoft.Data.Sqlite,Microsoft,closed,unknown
aspnet,aspnet/Microsoft.Data.Sqlite,Google Email,1,1,0.2,22,personal,Microsoft.Data.Sqlite,Microsoft,closed,unknown
aspnet,aspnet/Microsoft.Data.Sqlite,Microsoft,3,1,0.5,52,public,Microsoft.Data.Sqlite,Microsoft,closed,internal
aspnet,aspnet/MusicStore,GitHub,4,1,0.7,72,github,MusicStore,Microsoft,closed,unknown
